,week,day,time_of_day,class_type,faculty,school,joint,status,degree,enrollment,class_duration
1536,10,3,0,0,6,23,0,4,2,455,2
1537,2,2,1,0,2,25,0,4,2,399,3
1538,10,3,1,0,5,8,0,4,2,447,1
1539,6,3,2,0,5,8,0,4,2,399,2
1540,1,2,0,0,6,30,0,4,2,269,2
1541,3,2,2,0,5,8,0,4,2,381,2
1542,11,4,2,0,5,8,0,4,2,291,2
1543,4,0,1,1,2,25,0,4,2,354,2
1544,4,0,1,0,4,26,1,4,2,404,1
1545,0,4,0,0,6,18,0,4,2,416,2
1546,1,4,3,0,2,16,0,4,0,344,3
1547,10,4,0,0,6,18,0,4,2,416,2
1548,6,2,0,0,6,30,0,4,2,269,2
1549,11,3,2,0,4,26,1,4,2,404,1
1550,11,2,0,0,6,30,0,4,2,269,2
1551,3,3,0,0,2,17,1,4,1,321,1
1552,3,3,0,0,6,23,0,4,2,455,2
1553,10,3,2,0,4,26,1,4,2,404,1
1554,11,0,0,0,5,8,0,4,2,447,1
1555,3,2,1,0,2,25,0,4,2,399,3
1556,4,1,0,0,6,18,0,4,2,421,2
1557,6,2,3,0,6,18,0,4,2,374,2
1558,6,2,2,0,6,18,0,4,2,397,2
1559,6,2,2,0,5,8,0,4,2,381,2
1560,7,4,3,0,2,16,0,4,0,344,3
1561,10,4,2,0,4,26,1,4,2,404,1
1562,8,4,0,0,5,28,0,2,2,271,1
1563,2,2,0,0,6,30,0,4,2,269,2
1564,2,4,1,0,2,16,0,4,2,418,1
1565,6,3,0,0,6,23,0,4,2,455,2
1566,8,1,2,0,5,8,0,4,2,399,2
1567,3,2,3,0,6,18,0,4,2,374,2
1568,9,2,2,0,6,18,0,4,2,397,2
1569,1,0,0,0,5,8,0,4,2,447,1
1570,9,2,1,0,2,25,0,4,2,399,3
1571,9,2,0,0,6,30,0,4,2,269,2
1572,3,0,2,0,5,8,0,4,2,306,2
1573,8,3,1,0,5,8,0,4,2,447,1
1574,11,3,0,0,6,23,0,4,2,455,2
1575,10,3,2,0,5,8,0,4,2,399,2
1576,4,0,0,0,5,4,0,4,2,238,1
1577,4,0,0,0,2,17,1,4,1,303,1
1578,11,0,0,0,2,17,1,4,1,303,1
1579,5,4,3,0,2,16,0,4,0,344,3
1580,0,4,3,0,2,16,0,4,0,344,3
1581,0,4,1,0,6,18,0,4,2,400,2
1582,0,4,2,0,5,8,0,4,2,291,2
1583,9,0,3,1,2,25,0,4,2,326,1
1584,7,4,1,0,2,16,0,4,2,418,1
1585,2,2,2,0,6,18,0,4,2,397,2
1586,2,2,2,0,5,8,0,4,2,381,2
1587,2,4,1,0,6,18,0,4,2,400,2
1588,0,3,0,0,5,28,0,2,2,231,1
1589,6,3,0,0,2,17,1,4,1,321,1
1590,4,1,2,0,2,16,0,4,2,418,2
1591,5,0,0,0,5,4,0,4,2,238,1
1592,5,2,3,0,6,18,0,4,2,374,2
1593,5,2,2,0,6,18,0,4,2,397,2
1594,5,2,1,0,2,25,0,4,2,399,3
1595,11,3,1,0,5,8,0,4,2,447,1
1596,11,2,2,0,5,8,0,4,2,381,2
1597,11,3,2,0,5,8,0,4,2,399,2
1598,11,2,2,0,6,18,0,4,2,397,2
1599,6,0,3,1,2,25,0,4,2,326,1
1600,1,0,0,0,2,17,1,4,1,303,1
1601,1,0,0,0,5,4,0,4,2,238,1
1602,8,2,2,0,5,8,0,4,2,381,2
1603,8,2,1,0,2,25,0,4,2,399,3
1604,10,4,1,0,2,16,0,4,2,418,1
1605,2,2,3,0,6,18,0,4,2,374,2
1606,8,4,2,0,5,8,0,4,2,291,2
1607,11,2,3,0,6,18,0,4,2,374,2
1608,0,4,0,0,5,28,0,2,2,271,1
1609,1,4,0,0,6,18,0,4,2,416,2
1610,6,3,1,0,5,8,0,4,2,447,1
1611,2,4,3,0,2,16,0,4,0,344,3
1612,0,3,2,0,5,8,0,4,2,399,2
1613,5,4,1,0,2,16,0,4,2,418,1
1614,5,4,1,0,6,18,0,4,2,400,2
1615,5,3,1,0,5,8,0,4,2,447,1
1616,0,4,2,0,4,26,1,4,2,404,1
1617,8,4,0,0,6,18,0,4,2,416,2
1618,7,0,0,0,5,8,0,4,2,447,1
1619,5,3,2,0,5,8,0,4,2,399,2
1620,11,3,0,0,2,17,1,4,1,321,1
1621,10,2,3,0,6,18,0,4,2,374,2
1622,1,4,2,0,5,8,0,4,2,291,2
1623,0,3,2,0,4,26,1,4,2,404,1
1624,3,2,2,0,6,18,0,4,2,397,2
1625,11,4,1,0,6,18,0,4,2,400,2
1626,7,2,0,0,6,30,0,4,2,269,2
1627,9,4,2,0,4,26,1,4,2,404,1
1628,9,4,0,0,5,28,0,2,2,271,1
1629,8,0,1,1,2,25,0,4,2,354,2
1630,7,0,0,0,2,17,1,4,1,303,1
1631,10,1,2,0,5,8,0,4,2,399,2
1632,7,0,2,0,5,8,0,4,2,306,2
1633,6,4,1,0,2,16,0,4,2,418,1
1634,5,4,0,0,5,28,0,2,2,271,1
1635,1,4,1,0,6,18,0,4,2,400,2
1636,0,0,2,0,5,8,0,4,2,306,2
1637,7,2,2,0,6,18,0,4,2,397,2
1638,8,1,1,0,6,23,0,4,2,296,2
1639,7,2,1,0,2,25,0,4,2,399,3
1640,10,1,1,0,6,23,0,4,2,296,2
1641,1,4,1,0,2,16,0,4,2,418,1
1642,1,1,2,0,5,8,0,4,2,399,2
1643,11,4,3,0,2,16,0,4,0,344,3
1644,8,4,1,0,6,18,0,4,2,400,2
1645,4,1,3,0,6,11,0,4,2,133,2
1646,0,0,0,0,5,8,0,4,2,447,1
1647,0,1,2,0,5,8,0,4,2,399,2
1648,6,0,2,0,5,8,0,4,2,306,2
1649,7,2,2,0,5,8,0,4,2,381,2
1650,6,1,2,0,5,8,0,4,2,399,2
1651,5,4,2,0,5,8,0,4,2,291,2
1652,3,0,0,0,2,17,1,4,1,303,1
1653,5,4,2,0,4,26,1,4,2,404,1
1654,10,0,0,0,2,17,1,4,1,303,1
1655,11,1,1,0,6,23,0,4,2,296,2
1656,10,0,0,0,5,8,0,4,2,447,1
1657,8,4,1,0,2,16,0,4,2,418,1
1658,0,2,1,0,2,25,0,4,2,399,3
1659,7,3,2,0,5,8,0,4,2,399,2
1660,0,1,1,0,6,23,0,4,2,296,2
